"","Sample_A","Sample_B","BC_distances"
"342","10P1V2","10P11V1A",0.811951729496272
"343","10P2V1","10P11V1A",0.993305219739811
"344","10P2V1A","10P11V1A",0.994219384034258
"345","10P2V2","10P11V1A",0.992551852512392
"346","10P2V2A","10P11V1A",0.99404078877922
"347","10P2V2B","10P11V1A",0.730370510470948
"348","10P2V3","10P11V1A",0.990468012550517
"349","10P2V3A","10P11V1A",0.994298849142846
"350","10P3V1","10P11V1A",0.963679245283019
"351","10P3V1A","10P11V1A",0.621076182414253
"352","10P3V2","10P11V1A",0.979725177572766
"353","10P3V2A","10P11V1A",0.613637707355731
"354","10P2V3B","10P11V1A",0.691198653808597
"355","10P3V3A","10P11V1A",0.700809526705487
"356","10P4V1","10P11V1A",0.961490562032172
"357","10P4V1A","10P11V1A",0.72467657675368
"358","10P4V2","10P11V1A",0.960751704236408
"359","10P4V2A","10P11V1A",0.754308877061187
"360","10P4V3","10P11V1A",0.961226415094339
"361","10P4V3A","10P11V1A",0.781735420772451
"362","10P5V1","10P11V1A",0.989023912191297
"363","10P5V2","10P11V1A",0.664273497480569
"364","10P6V1","10P11V1A",0.960288511721627
"365","10P6V1A","10P11V1A",0.695175333287953
"366","10P6V2","10P11V1A",0.981022115212257
"367","10P6V2A","10P11V1A",0.58680603279768
"368","10P6V3","10P11V1A",0.968250504115755
"369","10P6V3A","10P11V1A",0.773607551315469
"370","10P7V1","10P11V1A",0.994138523015749
"371","10P7V1A","10P11V1A",0.98439310719759
"372","10P7V2","10P11V1A",0.82516231697906
"373","10P7V3","10P11V1A",0.981459022117084
"374","10P7V3A","10P11V1A",0.881923016935059
"375","10P8V1","10P11V1A",0.990269429616241
"376","10P8V1A","10P11V1A",0.735688083573303
"377","10P8V2","10P11V1A",0.959827101704066
"378","10P8V2A","10P11V1A",0.583609825560698
"379","10P9V1","10P11V1A",0.990916136320579
"380","10P9V1A","10P11V1A",0.993848027704982
"381","10P9V1B","10P11V1A",0.888181553373739
"382","10P9V2","10P11V1A",0.996698113207547
"383","10P9V2A","10P11V1A",0.961428421401812
"384","10P9V3","10P11V1A",0.994528301886793
"385","10P9V3A","10P11V1A",0.836075040932415
"386","10P10V1","10P11V2",0.228128147171069
"387","10P10V2","10P11V2",0.221931889162384
"388","10P10V2A","10P11V2",0.97770898144708
"389","10P11V1","10P11V2",0.0861258154791003
"390","10P11V1A","10P11V2",0.975249373490017
"391","10P11V2","10P11V2",0
"392","10P12V1","10P11V2",0.834883601232921
"393","10P12V1A","10P11V2",0.980014028968368
"394","10P13V1","10P11V2",0.984857704279319
"395","10P13V2","10P11V2",0.986842278514368
"396","10P14V1","10P11V2",0.83620045009895
"397","10P14V1A","10P11V2",0.991498431917984
"398","10P14V2","10P11V2",0.818153144782141
"399","10P14V2A","10P11V2",0.971852229122102
"400","10P14V3","10P11V2",0.763467263131435
"401","10P14V3A","10P11V2",0.968632061194248
"402","10P15V1","10P11V2",0.396911436234748
"403","10P15V1A","10P11V2",0.986073548546495
"404","10P15V2","10P11V2",0.642875810620423
"405","10P15V2A","10P11V2",0.979303453571976
"406","10P15V3","10P11V2",0.649912378654026
"407","10P15V3A","10P11V2",0.98400582269746
"408","10P16V1","10P11V2",0.98975659603878
"409","10P16V2","10P11V2",0.982611140493541
"410","10P17V1","10P11V2",0.989756987650106
"411","10P17V3A","10P11V2",0.997046700079837
"412","10P17V3","10P11V2",0.199420594577751
"413","10P18V1","10P11V2",0.23108253970874
"414","10P18V1A","10P11V2",0.985281897038032
"415","10P18V2","10P11V2",0.480062542594058
"416","10P18V3","10P11V2",0.204244423728489
"417","10P18V3A","10P11V2",0.974989258459737
"418","10P1V1","10P11V2",0.991698428142117
"419","10P1V2","10P11V2",0.999394428744449
"420","10P2V1","10P11V2",0.519588294634672
"421","10P2V1A","10P11V2",0.754259079230328
"422","10P2V2","10P11V2",0.807545925178971
"423","10P2V2A","10P11V2",0.731021878027937
"424","10P2V2B","10P11V2",0.996401489175838
"425","10P2V3","10P11V2",0.684181143813232
"426","10P2V3A","10P11V2",0.882936958932639
"427","10P3V1","10P11V2",0.329232924038499
"428","10P3V1A","10P11V2",0.996228501985239
"429","10P3V2","10P11V2",0.220572315193098
"430","10P3V2A","10P11V2",0.9867284372446
"431","10P2V3B","10P11V2",0.990955473052698
"432","10P3V3A","10P11V2",0.997010488696414
"433","10P4V1","10P11V2",0.859952264093858
"434","10P4V1A","10P11V2",0.979056963112629
"435","10P4V2","10P11V2",0.924682990718707
"436","10P4V2A","10P11V2",0.987731282728774
"437","10P4V3","10P11V2",0.841547527188915
"438","10P4V3A","10P11V2",0.985195948145373
"439","10P5V1","10P11V2",0.263907553377839
"440","10P5V2","10P11V2",0.994652322817632
"441","10P6V1","10P11V2",0.828448969575302
"442","10P6V1A","10P11V2",0.969074760721507
"443","10P6V2","10P11V2",0.872463662407317
"444","10P6V2A","10P11V2",0.998160817174576
"445","10P6V3","10P11V2",0.780592236632069
"446","10P6V3A","10P11V2",0.974235458666725
"447","10P7V1","10P11V2",0.975823836624571
"448","10P7V1A","10P11V2",0.997511128129039
"449","10P7V2","10P11V2",0.990459404776472
"450","10P7V3","10P11V2",0.905689628429362
"451","10P7V3A","10P11V2",0.994881369059133
"452","10P8V1","10P11V2",0.852509957961265
"453","10P8V1A","10P11V2",0.993003925804536
"454","10P8V2","10P11V2",0.833204623974733
"455","10P8V2A","10P11V2",0.981632963126489
"456","10P9V1","10P11V2",0.502366531756351
"457","10P9V1A","10P11V2",0.922720222703262
"458","10P9V1B","10P11V2",0.996748972305012
"459","10P9V2","10P11V2",0.992474464752465
"460","10P9V2A","10P11V2",0.9996974484822
"461","10P9V3","10P11V2",0.907250911154568
"462","10P9V3A","10P11V2",0.999384804675485
"463","10P10V1","10P12V1",0.950145204940641
"464","10P10V2","10P12V1",0.87318809762591
"465","10P10V2A","10P12V1",0.98013781550687
"466","10P11V1","10P12V1",0.860042041288732
"467","10P11V1A","10P12V1",0.979870542896696
"468","10P11V2","10P12V1",0.834883601232921
"469","10P12V1","10P12V1",0
"470","10P12V1A","10P12V1",0.984387715167898
"471","10P13V1","10P12V1",0.985092452349627
"472","10P13V2","10P12V1",0.986148670138344
"473","10P14V1","10P12V1",0.661559210110476
"474","10P14V1A","10P12V1",0.993139252087185
"475","10P14V2","10P12V1",0.685515230812768
"476","10P14V2A","10P12V1",0.98152626588094
"477","10P14V3","10P12V1",0.561048921932875
"478","10P14V3A","10P12V1",0.980396151960312
"479","10P15V1","10P12V1",0.76161234806434
"480","10P15V1A","10P12V1",0.988777323968281
"481","10P15V2","10P12V1",0.70706730646391
"482","10P15V2A","10P12V1",0.977091749388336
"483","10P15V3","10P12V1",0.640604999103621
"484","10P15V3A","10P12V1",0.985689868616401
"485","10P16V1","10P12V1",0.989140006219799
"486","10P16V2","10P12V1",0.984978632848771
"487","10P17V1","10P12V1",0.988790231179264
"488","10P17V3A","10P12V1",0.995117815450347
"489","10P17V3","10P12V1",0.890572331740983
"490","10P18V1","10P12V1",0.92030193457512
"491","10P18V1A","10P12V1",0.986831109269985
"492","10P18V2","10P12V1",0.826275013010337
"493","10P18V3","10P12V1",0.912763027656672
"494","10P18V3A","10P12V1",0.979267780298223
"495","10P1V1","10P12V1",0.993038344759995
"496","10P1V2","10P12V1",0.999394428744449
"497","10P2V1","10P12V1",0.955763486174067
"498","10P2V1A","10P12V1",0.98630886580954
"499","10P2V2","10P12V1",0.969490425693657
"500","10P2V2A","10P12V1",0.97158326429392
"501","10P2V2B","10P12V1",0.996749810346348
"502","10P2V3","10P12V1",0.939821377392002
"503","10P2V3A","10P12V1",0.992156996556971
"504","10P3V1","10P12V1",0.786101977671205
"505","10P3V1A","10P12V1",0.99572426921662
"506","10P3V2","10P12V1",0.894388891099305
"507","10P3V2A","10P12V1",0.987231686798472
"508","10P2V3B","10P12V1",0.994594886642217
"509","10P3V3A","10P12V1",0.995660473296009
"510","10P4V1","10P12V1",0.684487544728251
"511","10P4V1A","10P12V1",0.977010058275628
"512","10P4V2","10P12V1",0.867058880654864
"513","10P4V2A","10P12V1",0.985029411885663
"514","10P4V3","10P12V1",0.713540043877242
"515","10P4V3A","10P12V1",0.983250756486379
"516","10P5V1","10P12V1",0.971037536100641
"517","10P5V2","10P12V1",0.995503659223591
"518","10P6V1","10P12V1",0.600368020046701
"519","10P6V1A","10P12V1",0.971216366206944
"520","10P6V2","10P12V1",0.469030159824374
"521","10P6V2A","10P12V1",1
"522","10P6V3","10P12V1",0.537268585139473
"523","10P6V3A","10P12V1",0.971790204777045
"524","10P7V1","10P12V1",0.985930712225849
"525","10P7V1A","10P12V1",0.999090604508687
"526","10P7V2","10P12V1",0.993196164040804
"527","10P7V3","10P12V1",0.877019093526726
"528","10P7V3A","10P12V1",0.995740041078175
"529","10P8V1","10P12V1",0.688064284829626
"530","10P8V1A","10P12V1",0.997676665912783
"531","10P8V2","10P12V1",0.648193564431164
"532","10P8V2A","10P12V1",0.982030896286188
"533","10P9V1","10P12V1",0.956840874557387
"534","10P9V1A","10P12V1",0.916073791938007
"535","10P9V1B","10P12V1",0.99576756323348
"536","10P9V2","10P12V1",0.993197511600089
"537","10P9V2A","10P12V1",0.998765293523403
"538","10P9V3","10P12V1",0.798038602864193
"539","10P9V3A","10P12V1",0.999829112409857
"540","10P10V1","10P12V1A",0.981885212487345
"541","10P10V2","10P12V1A",0.981191617841387
"542","10P10V2A","10P12V1A",0.830281353040881
"543","10P11V1","10P12V1A",0.979294124321146
"544","10P11V1A","10P12V1A",0.673396827449929
"545","10P11V2","10P12V1A",0.980014028968368
"546","10P12V1","10P12V1A",0.984387715167898
"547","10P12V1A","10P12V1A",0
"548","10P13V1","10P12V1A",0.7188319976036
"549","10P13V2","10P12V1A",0.654687611289306
"550","10P14V1","10P12V1A",0.979861765801898
"551","10P14V1A","10P12V1A",0.605340863501555
"552","10P14V2","10P12V1A",0.973927223351817
"553","10P14V2A","10P12V1A",0.679101217059181
"554","10P14V3","10P12V1A",0.977108521869468
"555","10P14V3A","10P12V1A",0.697752500668036
"556","10P15V1","10P12V1A",0.980849835137199
"557","10P15V1A","10P12V1A",0.742088170476691
"558","10P15V2","10P12V1A",0.980536900505767
"559","10P15V2A","10P12V1A",0.724186095646049
"560","10P15V3","10P12V1A",0.98015332415399
"561","10P15V3A","10P12V1A",0.77998435787473
"562","10P16V1","10P12V1A",0.590302330482451
"563","10P16V2","10P12V1A",0.633136891754323
"564","10P17V1","10P12V1A",0.691201070010793
"565","10P17V3A","10P12V1A",0.649102635186076
"566","10P17V3","10P12V1A",0.980793949442075
"567","10P18V1","10P12V1A",0.981061721895652
"568","10P18V1A","10P12V1A",0.821046484263886
"569","10P18V2","10P12V1A",0.980750759433661
"570","10P18V3","10P12V1A",0.981352806393324
"571","10P18V3A","10P12V1A",0.677316258709665
"572","10P1V1","10P12V1A",0.682326460730906
"573","10P1V2","10P12V1A",0.804974938225099
"574","10P2V1","10P12V1A",0.996009987543395
"575","10P2V1A","10P12V1A",0.996991435974167
"576","10P2V2","10P12V1A",0.98979413628783
"577","10P2V2A","10P12V1A",0.995368034682534
"578","10P2V2B","10P12V1A",0.725979563581981
"579","10P2V3","10P12V1A",0.987253258963129
"580","10P2V3A","10P12V1A",0.998659972054882
"581","10P3V1","10P12V1A",0.980849835137199
"582","10P3V1A","10P12V1A",0.68670199488727
"583","10P3V2","10P12V1A",0.982378625141076
"584","10P3V2A","10P12V1A",0.581820960958088
"585","10P2V3B","10P12V1A",0.659214901855198
"586","10P3V3A","10P12V1A",0.703968790113429
"587","10P4V1","10P12V1A",0.981103254355285
"588","10P4V1A","10P12V1A",0.660162248111582
